task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cs,element_rmse_Cs,element_mae_I,element_rmse_I,element_mae_Pb,element_rmse_Pb,mode,run_id
temperature,temperature_ood_0600K,small,5,600,1,100,32000,0.020443145539023683,0.030369411701749418,5.782041512247815e-15,2.0580111181735994,0.006431284744292497,0.030356952570728027,0.038580413213169906,0.0144426665143983,0.02245719636076714,0.028530775581195485,0.040125808984924884,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_0900K,small,5,600,1,100,32000,0.03199595681758074,0.05193777024664076,5.594968932598477e-15,4.991003664135933,0.01559688645042479,0.03514771206304431,0.04615245763406793,0.024471788104594452,0.045232168972543056,0.05141670771107602,0.0722479287967324,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_1200K,small,5,600,1,100,32000,0.0572153308339446,0.12080570585420974,5.266898028821742e-15,6.8978218986094,0.021555693433154374,0.046101964225395926,0.06278879722843358,0.046732826228088616,0.1207328137291376,0.09977621126006124,0.15905477938248813,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_0600K,small,5,600,2,100,32000,0.027474795905337673,0.03885143579200939,5.319078510979125e-15,1.3126340079307557,0.004101981274783611,0.043164259431709075,0.05573450378930579,0.018422199298016497,0.024492991239243974,0.0389431222009298,0.05139178478439869,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_0900K,small,5,600,2,100,32000,0.038523154078301744,0.056918736386967386,4.9499293552912605e-15,5.043218673169613,0.01576005835365504,0.04962017846279196,0.06613537043291862,0.026270889151666782,0.03840920446164243,0.06418292447371642,0.0860175829410319,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_1200K,small,5,600,2,100,32000,0.06422784201256637,0.10953178031049851,5.361822097427194e-15,7.850829611662776,0.024533842536446172,0.06380383868345871,0.08877730198719591,0.04598185240014967,0.08070636723413097,0.11938981417892411,0.1804552354613729,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_0600K,small,10,300,0,100,32000,0.03155963189057656,0.045774992682375656,6.1095573045122366e-15,1.5496364071965218,0.004842613772489131,0.04758496415847912,0.061594208971093044,0.023100835727459825,0.035682057626493624,0.04091068811202422,0.053509583134255606,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed0
temperature,temperature_ood_0900K,small,10,300,0,100,32000,0.047568863868992776,0.0752998012601989,4.8877568659122515e-15,7.404395380020142,0.023138735562562945,0.055679231255402556,0.0772422708849493,0.039185091998990784,0.07017716778167954,0.06460981209258898,0.08723203141099818,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed0
temperature,temperature_ood_1200K,small,10,300,0,100,32000,0.07584794929497439,0.14553456373384457,5.1025850211772196e-15,14.270662733241915,0.04459582104138099,0.07410096924153185,0.1090265766440531,0.06726544941986018,0.16017309273061767,0.1033424289737595,0.13056987740902426,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed0
temperature,temperature_ood_0600K,small,10,300,1,100,32000,0.02919111087906349,0.04729810177624853,5.9385829587199626e-15,1.2052302958071233,0.0037663446743972594,0.045066059230186514,0.056926231562957966,0.01676294472262574,0.02758707745257558,0.05060066099725374,0.07524503831548696,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_0900K,small,10,300,1,100,32000,0.04204392073299823,0.07816750755326692,5.1478266094306946e-15,4.356355077251792,0.013613609616411849,0.052784361232945234,0.06960792096407889,0.02749728061915084,0.06312393247018476,0.0749434005745934,0.11726739091924665,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_1200K,small,10,300,1,100,32000,0.07033996483897789,0.17658289538102098,5.6521454183666716e-15,8.127829884067177,0.02539946838770993,0.069272978203393,0.09315743637005598,0.053503376166282875,0.1764651356241749,0.12191671749264789,0.23196864978291062,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_0600K,small,10,300,2,100,32000,0.038491132506367286,0.05130625607979699,4.720668300706166e-15,0.9442747607827187,0.002950858627445996,0.05038623079584795,0.06588033004639364,0.03167251295059881,0.04097249108627679,0.04705189288419206,0.06152403270399039,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_0900K,small,10,300,2,100,32000,0.0505331652381079,0.07031148818783749,4.939382236557322e-15,3.6254792506992817,0.011329622658435255,0.05894446338842681,0.08058204896435678,0.040018206592401837,0.053657607283866725,0.0736667430249072,0.09791651434951641,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_1200K,small,10,300,2,100,32000,0.07759862721294121,0.12045432232886122,5.987432771803469e-15,6.8173341951705515,0.021304169359907973,0.07709421335184924,0.10951779869103982,0.06041136058570556,0.0892044559104667,0.12966484095574013,0.1915196223512036,baseline,temperature__temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_0600K,small,10,600,0,100,32000,0.025238394546142084,0.035849172368100216,5.510036871214652e-15,1.5366293004155158,0.0048019665637984875,0.03459231799878762,0.045038587462877706,0.01837425838837711,0.02624143906719933,0.03647687956679147,0.048285629992627296,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_0900K,small,10,600,0,100,32000,0.03947199023834546,0.0594853519088426,5.325739849126876e-15,6.661773966252804,0.020818043644540013,0.04179808155633509,0.057500215833293615,0.03125903498660774,0.05012031072856219,0.061784764675569016,0.08276547586485558,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_1200K,small,10,600,0,100,32000,0.06509999809023574,0.11546155920159924,5.087041898832467e-15,11.913615335300564,0.037230047922814265,0.058490429525481884,0.0847918352379264,0.05457086230488736,0.11942613060519368,0.10329697401103477,0.12914875504363188,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_0600K,small,10,600,1,100,32000,0.02018533052584389,0.030363123027664547,5.161426841482353e-15,1.5326562806963921,0.004789550877176225,0.029877920836413975,0.038119639757074934,0.014327005864790406,0.02229029704775938,0.028067714198434256,0.04081564941691172,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed1
temperature,temperature_ood_0900K,small,10,600,1,100,32000,0.031561692841944745,0.052646951454560206,5.400679903289074e-15,4.070090024024248,0.012719031325075776,0.03459584946351242,0.04568970689749565,0.023969347170340674,0.04549363318152718,0.05130457323518931,0.07457845661281134,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed1
temperature,temperature_ood_1200K,small,10,600,1,100,32000,0.05708476751441776,0.123478911187367,5.6249449542633555e-15,5.590640983879566,0.017470753074623643,0.04558689129409322,0.06261684673619458,0.046333027493572446,0.12167137625750564,0.10083786379727826,0.1670406137552114,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed1
temperature,temperature_ood_0600K,small,10,600,2,100,32000,0.02728083433686406,0.03879951291975587,5.6066262743570405e-15,1.0041199120879174,0.0031378747252747423,0.04282352377462667,0.055469908062867196,0.01833628790076667,0.02469418832100287,0.03857178420739364,0.05119268993761815,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed2
temperature,temperature_ood_0900K,small,10,600,2,100,32000,0.03833145134070655,0.057064303904086906,5.842826222846042e-15,4.285458807051182,0.013392058772034945,0.04933158269812703,0.06591558494059285,0.026207145852822578,0.0386553340117721,0.06370423644693801,0.08633715897308895,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed2
temperature,temperature_ood_1200K,small,10,600,2,100,32000,0.06429138490169534,0.11047610716439799,5.059286323216838e-15,6.692401708550751,0.0209137553392211,0.06342861987010656,0.08868606977730562,0.04604437506224227,0.07933651987502185,0.11989517945164334,0.18513989883548446,baseline,temperature__temperature_low_train__baseline__small__n010_te0600_r1_seed2
