task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0650K,small,10,300,0,320,69120,0.053210139448485565,0.068340957473829,7.352278508232502e-15,0.4375809018500149,0.0020258375085648833,0.05208588988920712,0.06675324458641493,0.054334389007764015,0.06989261244270151,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed0
temperature,temperature_ood_0700K,small,10,300,0,320,69120,0.05984920437987245,0.07624469454030837,6.9876396335821765e-15,0.4396397791802883,0.00203536934805689,0.05858806462416141,0.07421997064033328,0.06111034413558348,0.07821702403721278,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed0
temperature,temperature_ood_0600K,small,10,300,1,320,69120,0.02185194762833244,0.03066517838984594,7.925257672347642e-15,0.24250499699264766,0.0011227083194104057,0.02683854377470829,0.036863799147259985,0.01686535148195659,0.022842211884855263,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_0650K,small,10,300,1,320,69120,0.024600138259595367,0.03419566709129097,7.98892202391599e-15,0.20772698782384397,0.0009616990177029813,0.029263600327714256,0.04051972320394081,0.01993667619147648,0.026397714429715717,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_0700K,small,10,300,1,320,69120,0.027652548328056404,0.03789174496834509,7.90739002054508e-15,0.2068594630807638,0.0009576826994479806,0.0318981111806192,0.04412729468170847,0.023406985475493608,0.030403133680031637,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed1
temperature,temperature_ood_0600K,small,10,300,2,320,69120,0.048223190512122094,0.06316030496646471,7.076630947899787e-15,1.804855936113745,0.008355814519045116,0.04935125342251021,0.06539489820593763,0.04709512760173398,0.060843697582812245,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_0650K,small,10,300,2,320,69120,0.056613478172364944,0.0727953456589534,6.57824489325165e-15,2.2247472214512527,0.010299755654866911,0.05765033239584249,0.0749783903296833,0.05557662394888739,0.0705447778562146,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_0700K,small,10,300,2,320,69120,0.06616273351534586,0.08384968796924396,6.3081484480420615e-15,2.6697703766345513,0.012360048039974774,0.06718001899415942,0.08634775078302466,0.0651454480365323,0.08127488098909658,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed2
temperature,temperature_ood_0600K,small,10,600,0,320,69120,0.0371983250487383,0.049540122183721544,7.84754206062388e-15,0.41126208677887915,0.001903991142494811,0.036932459717483254,0.04895263449023167,0.037464190379993365,0.05012072414103671,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_0650K,small,10,600,0,320,69120,0.04361480651662873,0.05708501450188716,6.745992653378608e-15,0.38760251775383947,0.0017944561007122199,0.04329435597928413,0.05619934179858543,0.043935257053973324,0.0579571543708549,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_0700K,small,10,600,0,320,69120,0.050823963501339185,0.06550452854533279,6.731247503832805e-15,0.40495427888818086,0.0018747883281860225,0.050393444093771306,0.0642389002354811,0.051254482908907065,0.06674616255956999,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed0
temperature,temperature_ood_0600K,small,10,600,1,320,69120,0.013785854486961128,0.0200054085596547,8.36657132463614e-15,0.1479605003260076,0.0006850023163241093,0.016007227271522834,0.02329361877968795,0.011564481702399414,0.01605739914880302,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed1
temperature,temperature_ood_0650K,small,10,600,1,320,69120,0.016097681357117918,0.02307169236603503,8.329795186945433e-15,0.15334897423163057,0.0007099489547760673,0.018036540975619814,0.02643145528105051,0.014158821738616018,0.019130712192486334,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed1
temperature,temperature_ood_0700K,small,10,600,1,320,69120,0.018745192198029472,0.026411293729803786,8.466144452157209e-15,0.1720798837020993,0.0007966661282504598,0.020427278773253912,0.029790702198706744,0.017063105622805025,0.022530577788239574,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed1
