material,task,condition,role,structure_index,distance,retained_pcs_95pct
NaCl,deformation,lambda=0.50,high,6,5.865012117155018,14
NaCl,deformation,lambda=0.50,high,7,7.096073547794987,14
NaCl,deformation,lambda=0.50,high,8,5.010313967887826,14
NaCl,deformation,lambda=0.50,high,9,4.726482562199061,14
NaCl,deformation,lambda=0.50,high,10,3.903988335135837,14
NaCl,deformation,lambda=0.50,high,11,4.5285332488443695,14
NaCl,deformation,lambda=0.50,high,12,5.832948152029734,14
NaCl,deformation,lambda=0.50,high,13,4.832989105936301,14
NaCl,deformation,lambda=0.50,high,14,4.943566684785107,14
NaCl,deformation,lambda=0.50,high,15,4.368050255755756,14
NaCl,deformation,lambda=0.50,high,16,8.003061651750063,14
NaCl,deformation,lambda=0.50,high,17,6.936271668222534,14
NaCl,deformation,lambda=0.50,high,18,5.175146726604311,14
NaCl,deformation,lambda=0.50,high,19,5.461072784520809,14
NaCl,deformation,lambda=0.50,high,20,5.321066369603114,14
NaCl,deformation,lambda=0.50,high,21,4.257727665766678,14
NaCl,deformation,lambda=0.50,high,22,8.700532484831417,14
NaCl,deformation,lambda=0.50,high,23,5.04518449204264,14
NaCl,deformation,lambda=0.50,high,24,5.097644776974445,14
NaCl,deformation,lambda=0.50,high,25,4.768741363076711,14
NaCl,deformation,lambda=0.50,high,26,4.933926399503692,14
NaCl,deformation,lambda=0.50,high,27,4.602279956707914,14
NaCl,deformation,lambda=0.50,high,28,5.097742517926083,14
NaCl,deformation,lambda=0.50,high,29,5.629491005177548,14
NaCl,deformation,lambda=0.50,high,30,5.0808616201952885,14
NaCl,deformation,lambda=0.50,high,31,3.7412665379767063,14
NaCl,deformation,lambda=0.50,high,32,4.369526564313855,14
NaCl,deformation,lambda=0.50,high,33,6.622765613430867,14
NaCl,deformation,lambda=0.50,high,34,3.6903946186954526,14
NaCl,deformation,lambda=0.50,high,35,6.247067066325602,14
NaCl,deformation,lambda=0.50,high,36,3.6193611822781655,14
NaCl,deformation,lambda=0.50,high,37,4.165844631816868,14
NaCl,deformation,lambda=0.50,high,38,4.788581078254539,14
NaCl,deformation,lambda=0.50,high,39,4.488146692243637,14
