cutoff_radius_over_r0,radius_squared,shell_multiplicity,shell_charge,shell_madelung_contribution,direct_madelung_sum,local_charge,delta_q,image_charge_correction,neutralized_madelung_sum,reference,direct_error,neutralized_error
53.018864567246254,2811,384,-384,-7.242705084960032,-2.0545900144346367,-17,17,0.32064058969875,-1.7339494247358869,-1.7475645946331821,-0.3070254198014546,0.013615169897295276
53.03772242470448,2813,720,-720,-13.575243564090602,-15.62983357852524,-737,737,13.895770148242871,-1.7340634302823688,-1.7475645946331821,-13.882268983892057,0.013501164350813388
53.04714883949938,2814,480,480,9.048554173048993,-6.581279405476247,-257,257,4.844746713486616,-1.7365326919896305,-1.7475645946331821,-4.833714810843064,0.011031902643551694
53.0659966456864,2816,24,24,0.4522670168666453,-6.129012388609602,-233,233,4.390758955413683,-1.7382534331959185,-1.7475645946331821,-4.381447793976419,0.009311161437263626
53.075418038862395,2817,480,-480,-9.043734703107582,-15.172747091717184,-713,713,13.433714256907665,-1.7390328348095192,-1.7475645946331821,-13.425182497084002,0.008531759823662943
53.08483775994799,2818,240,240,4.521064961812461,-10.651682129904724,-473,473,8.910265528905395,-1.7414166009993295,-1.7475645946331821,-8.904117535271542,0.006147993633852655
53.094255809833136,2819,504,-504,-9.492552298033345,-20.14423442793807,-977,977,18.401237292020923,-1.7429971359171468,-1.7475645946331821,-18.396669833304887,0.004567458716035366
53.103672189407014,2820,288,288,5.423353755513902,-14.720880672424169,-689,689,12.97462061648987,-1.7462600559342984,-1.7475645946331821,-12.973316077790987,0.001304538698883695
53.113086899558006,2821,384,-384,-7.229856564845925,-21.950737237270094,-1073,1073,20.20217732833241,-1.7485599089376826,-1.7475645946331821,-20.20317264263691,-0.0009953143045005053
53.1224999411737,2822,576,576,10.842863205569087,-11.107874031701007,-497,497,9.355734397860854,-1.7521396338401534,-1.7475645946331821,-9.360309437067825,-0.004575039206971221
53.14132102234569,2824,288,288,5.419511492363879,-5.6883625393371275,-209,209,3.9329093816112777,-1.7554531577258499,-1.7475645946331821,-3.940797944703945,-0.007888563092667722
53.150729063673246,2825,672,-672,-12.643288471075499,-18.331651010412628,-881,881,16.575501700918984,-1.7561493094936438,-1.7475645946331821,-16.584086415779446,-0.00858471486046164
53.16013544000805,2826,936,936,17.60717861707279,-0.7244723933398376,55,-55,-1.034609854635684,-1.7590822479755215,-1.7475645946331821,1.0230922012933445,-0.01151765334233934
53.16954015223378,2827,192,-192,-3.6110900987721646,-4.335562492112002,-137,137,2.5766632475613824,-1.7588992445506197,-1.7475645946331821,-2.58799789747882,-0.0113346499174376
53.178943201233324,2828,144,144,2.7078386920005615,-1.6277238001114407,7,-7,-0.13163104752780527,-1.759354847639246,-1.7475645946331821,0.11984079452174146,-0.011790253006063844
53.1883445878888,2829,384,-384,-7.219626836956219,-8.84735063706766,-377,377,7.088019056074259,-1.7593315809934005,-1.7475645946331821,-7.099786042434477,-0.011766986360218334
53.19774431308154,2830,240,240,4.511469482381477,-4.335881154686183,-137,137,2.575297162859425,-1.7605839918267576,-1.7475645946331821,-2.5883165600530003,-0.013019397193575477
53.21653878260028,2832,48,48,0.9019752336033953,-3.433905921082787,-89,89,1.6724124123062942,-1.761493508776493,-1.7475645946331821,-1.686341326449605,-0.013928914143310767
53.225933528685054,2833,384,-384,-7.214528229797092,-10.64843415087988,-473,473,8.886645449723979,-1.7617887011559006,-1.7475645946331821,-8.900869556246697,-0.014224106522718438
53.23532661682466,2834,1008,1008,18.934795070486647,8.286360919606768,535,-535,-10.049717621736484,-1.763356702129716,-1.7475645946331821,10.03392551423995,-0.015792107496533925
53.24471804789655,2835,432,-432,-8.113480845393818,0.1728800742129497,103,-103,-1.9344641830452711,-1.7615841088323214,-1.7475645946331821,1.9204446688461319,-0.014019514199139271
53.25410782277739,2836,120,120,2.253347298566038,2.4262273727789876,223,-223,-4.187470396501889,-1.7612430237229018,-1.7475645946331821,4.1737919674121695,-0.013678429089719613
53.2634959423431,2837,552,-552,-10.363570588711193,-7.937343215932206,-329,329,6.176838267547015,-1.760504948385191,-1.7475645946331821,-6.189778621299023,-0.012940353752008749
53.27288240746881,2838,480,480,9.010212669339262,1.0728694534070566,151,-151,-2.8344627355629988,-1.7615932821559421,-1.7475645946331821,2.820434048040239,-0.014028687522759986
53.291650377896914,2840,384,384,7.20563160039171,8.278501053798767,535,-535,-10.03909610992072,-1.7605950561219537,-1.7475645946331821,10.026065648431949,-0.013030461488771516
53.301031884945715,2841,528,-528,-9.905999590021544,-1.6274985362227774,7,-7,-0.13132954001922564,-1.758828076242003,-1.7475645946331821,0.12006605841040474,-0.011263481608820847
53.31041174104736,2842,216,216,4.051741356814281,2.4242428205915036,223,-223,-4.183047789674019,-1.7588049690825152,-1.7475645946331821,4.171807415224686,-0.011240374449333013
53.319789947073126,2843,360,-360,-6.75171452020629,-4.327471699614787,-137,137,2.5694024701895946,-1.758069229425192,-1.7475645946331821,-2.5799071049816042,-0.010504634792009915
53.33854141237835,2845,384,-384,-7.199296977980094,-11.52676867759488,-521,521,9.767796160228162,-1.7589725173667183,-1.7475645946331821,-9.779204082961698,-0.011407922733536191
53.34791467339656,2846,864,864,16.195572128536618,4.668803450941738,343,-343,-6.4294921760277655,-1.7606887250860277,-1.7475645946331821,6.41636804557492,-0.01312413045284555
53.36665625650534,2848,96,96,1.7988760535900719,6.46767950453181,439,-439,-8.226110286729579,-1.7584307821977694,-1.7475645946331821,8.215244099164991,-0.010866187564587237
53.376024580330075,2849,768,-768,-14.388482582553172,-7.920803078021362,-329,329,6.163816106328042,-1.75698697169332,-1.7475645946331821,-6.17323848338818,-0.009422377060137821
53.38539126015655,2850,480,480,8.991223791184288,1.0704207131629255,151,-151,-2.828489150976716,-1.7580684378137903,-1.7475645946331821,2.817985307796108,-0.010503843180608152
53.39475629684998,2851,264,-264,-4.944305739168161,-3.8738850260052358,-113,113,2.116312683810609,-1.7575723421946265,-1.7475645946331821,-2.1263204313720534,-0.010007747561444402
53.40411969127476,2852,288,288,5.392842381166612,1.5189573551613762,175,-175,-3.2769007524449796,-1.7579433972836034,-1.7475645946331821,3.2665219497945586,-0.010378802650421237
53.41348144429457,2853,360,-360,-6.739871475620737,-5.220914120459361,-185,185,3.4635450638606713,-1.75736905659869,-1.7475645946331821,-3.473349525826179,-0.009804461965507771
53.422841556772326,2854,312,312,5.840198516367509,0.6192843959081475,127,-127,-2.3772602935214033,-1.7579758976132558,-1.7475645946331821,2.36684899054133,-0.010411302980073645
53.44155686354955,2856,288,288,5.389064557668838,6.008348953576985,415,-415,-7.7654923313631175,-1.7571433777861323,-1.7475645946331821,7.7559135482101675,-0.009578783152950132
53.45091205957107,2857,240,-240,-4.490101118059891,1.5182478355170943,175,-175,-3.274032065251991,-1.7557842297348967,-1.7475645946331821,3.2658124301502767,-0.008219635101714529
53.46026561849464,2858,456,456,8.529699482866821,10.047947318383915,631,-631,-11.803158714230273,-1.7552113958463575,-1.7475645946331821,11.795511913017098,-0.007646801213175403
53.4696175411794,2859,432,-432,-8.079354591741692,1.968592726642223,199,-199,-3.7217397309180487,-1.7531470042758257,-1.7475645946331821,3.7161573212754053,-0.00558240964264356
53.47896782848375,2860,96,96,1.7950982208162363,3.7636909474584592,295,-295,-5.516187241049897,-1.7524962935914377,-1.7475645946331821,5.511255542091641,-0.004931698958255515
53.48831648126533,2861,792,-792,-14.80697191651924,-11.043280969060781,-497,497,9.291748791048189,-1.7515321780125923,-1.7475645946331821,-9.295716374427599,-0.003967583379410167
53.49766350038102,2862,576,576,10.76682535856738,-0.27645561049340195,79,-79,-1.4767000057757167,-1.7531556162691186,-1.7475645946331821,1.4711089841397802,-0.0055910216359364995
53.51635264103861,2864,120,120,2.2423052782558077,1.9658496677624058,199,-199,-3.718489586440881,-1.7526399186784754,-1.7475645946331821,3.713414262395588,-0.005075324045293206
53.52569476429054,2865,384,-384,-7.174124533852585,-5.208274866090179,-185,185,3.4562839551112567,-1.7519909109789227,-1.7475645946331821,-3.460710271456997,-0.004426316345740533
53.53503525729669,2866,480,480,8.96609104099874,3.7578161749085615,295,-295,-5.5104101189471475,-1.752593944038586,-1.7475645946331821,5.505380769541744,-0.005029349405403893
53.54437412091022,2867,288,-288,-5.378716340014713,-1.6209001651061516,7,-7,-0.1307326888198017,-1.7516328539259534,-1.7475645946331821,0.1266644295270305,-0.004068259292771215
53.55371135598354,2868,192,192,3.5851856974716916,1.96428553236554,199,-199,-3.7158955926920236,-1.7516100603264837,-1.7475645946331821,3.711850126998722,-0.004045465693301553
